ConfigID;Seleccion;Crossover;Mutacion;Supervivencia;PopSize;MaxGen;Run;BestFitness;TimeMS
Tournament_Size_1+PartiallyMappedCrossover+ReversalMutation+FullGenReplacement+P200;Tournament_Size_1;PartiallyMappedCrossover;ReversalMutation;FullGenReplacement;200;2000;1;0,35;5
Tournament_Size_1+PartiallyMappedCrossover+ReversalMutation+FullGenReplacement+P200;Tournament_Size_1;PartiallyMappedCrossover;ReversalMutation;FullGenReplacement;200;2000;2;0,46;5
Tournament_Size_1+PartiallyMappedCrossover+ReversalMutation+FullGenReplacement+P200;Tournament_Size_1;PartiallyMappedCrossover;ReversalMutation;FullGenReplacement;200;2000;3;0,36;15
Tournament_Size_1+PartiallyMappedCrossover+ReversalMutation+FullGenReplacement+P200;Tournament_Size_1;PartiallyMappedCrossover;ReversalMutation;FullGenReplacement;200;2000;4;0,41;4
Tournament_Size_1+PartiallyMappedCrossover+ReversalMutation+SteadyStateSurvivorSelection+P200;Tournament_Size_1;PartiallyMappedCrossover;ReversalMutation;SteadyStateSurvivorSelection;200;2000;1;1,12;19
Tournament_Size_1+PartiallyMappedCrossover+ReversalMutation+SteadyStateSurvivorSelection+P200;Tournament_Size_1;PartiallyMappedCrossover;ReversalMutation;SteadyStateSurvivorSelection;200;2000;2;1,32;13
Tournament_Size_1+PartiallyMappedCrossover+ReversalMutation+SteadyStateSurvivorSelection+P200;Tournament_Size_1;PartiallyMappedCrossover;ReversalMutation;SteadyStateSurvivorSelection;200;2000;3;0,94;16
Tournament_Size_1+PartiallyMappedCrossover+ReversalMutation+SteadyStateSurvivorSelection+P200;Tournament_Size_1;PartiallyMappedCrossover;ReversalMutation;SteadyStateSurvivorSelection;200;2000;4;0,86;19
Tournament_Size_1+OrderCrossover+SwapMutation+FullGenReplacement+P200;Tournament_Size_1;OrderCrossover;SwapMutation;FullGenReplacement;200;2000;1;0,56;6
Tournament_Size_1+OrderCrossover+SwapMutation+FullGenReplacement+P200;Tournament_Size_1;OrderCrossover;SwapMutation;FullGenReplacement;200;2000;2;0,36;4
Tournament_Size_1+OrderCrossover+SwapMutation+FullGenReplacement+P200;Tournament_Size_1;OrderCrossover;SwapMutation;FullGenReplacement;200;2000;3;0,36;3
Tournament_Size_1+OrderCrossover+SwapMutation+FullGenReplacement+P200;Tournament_Size_1;OrderCrossover;SwapMutation;FullGenReplacement;200;2000;4;0,33;9
Tournament_Size_1+OrderCrossover+SwapMutation+SteadyStateSurvivorSelection+P200;Tournament_Size_1;OrderCrossover;SwapMutation;SteadyStateSurvivorSelection;200;2000;1;1,28;9
Tournament_Size_1+OrderCrossover+SwapMutation+SteadyStateSurvivorSelection+P200;Tournament_Size_1;OrderCrossover;SwapMutation;SteadyStateSurvivorSelection;200;2000;2;1,28;13
Tournament_Size_1+OrderCrossover+SwapMutation+SteadyStateSurvivorSelection+P200;Tournament_Size_1;OrderCrossover;SwapMutation;SteadyStateSurvivorSelection;200;2000;3;0,96;14
Tournament_Size_1+OrderCrossover+SwapMutation+SteadyStateSurvivorSelection+P200;Tournament_Size_1;OrderCrossover;SwapMutation;SteadyStateSurvivorSelection;200;2000;4;1,20;10
Tournament_Size_1+OrderCrossover+ReversalMutation+FullGenReplacement+P200;Tournament_Size_1;OrderCrossover;ReversalMutation;FullGenReplacement;200;2000;1;0,28;4
Tournament_Size_1+OrderCrossover+ReversalMutation+FullGenReplacement+P200;Tournament_Size_1;OrderCrossover;ReversalMutation;FullGenReplacement;200;2000;2;0,53;5
Tournament_Size_1+OrderCrossover+ReversalMutation+FullGenReplacement+P200;Tournament_Size_1;OrderCrossover;ReversalMutation;FullGenReplacement;200;2000;3;0,58;3
Tournament_Size_1+OrderCrossover+ReversalMutation+FullGenReplacement+P200;Tournament_Size_1;OrderCrossover;ReversalMutation;FullGenReplacement;200;2000;4;0,41;7
